dataset,dataset_label,image,image_stem,model,model_label,pll_score,wer,cer,levenshtein,gt_source,gt_file,prediction_file,gt_chars,pred_chars,issue
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,125_83eef_default.jpg,125_83eef_default,ashkenazy,ashkenazy,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/125_83eef_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,125_83eef_default.jpg,125_83eef_default,biblia9,biblia9,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/125_83eef_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,125_83eef_default.jpg,125_83eef_default,italian_7,italian 7,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/125_83eef_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,125_83eef_default.jpg,125_83eef_default,prenumeranten,prenumeranten,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/125_83eef_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,125_83eef_default.jpg,125_83eef_default,sephardi,sephardi,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/125_83eef_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,125_83eef_default.jpg,125_83eef_default,sinai_no_voc_61,sinai no voc 61,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/125_83eef_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,125_83eef_default.jpg,125_83eef_default,vat44,vat44,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/125_83eef_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,140_6438b_default.jpg,140_6438b_default,ashkenazy,ashkenazy,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/140_6438b_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,140_6438b_default.jpg,140_6438b_default,biblia9,biblia9,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/140_6438b_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,140_6438b_default.jpg,140_6438b_default,italian_7,italian 7,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/140_6438b_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,140_6438b_default.jpg,140_6438b_default,prenumeranten,prenumeranten,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/140_6438b_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,140_6438b_default.jpg,140_6438b_default,sephardi,sephardi,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/140_6438b_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,140_6438b_default.jpg,140_6438b_default,sinai_no_voc_61,sinai no voc 61,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/140_6438b_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,140_6438b_default.jpg,140_6438b_default,vat44,vat44,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/140_6438b_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,183_0f70d_default.jpg,183_0f70d_default,ashkenazy,ashkenazy,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/183_0f70d_default.txt,,0,0,missing_score
huntingtonamitaitanchuma2,Huntington Amitai Tanchuma 2,183_0f70d_default.jpg,183_0f70d_default,biblia9,biblia9,,,,,gt,datasets/huntingtonamitaitanchuma2/gt/183_0f70d_default.txt,,0,0,missing_score
